title,destination,country,dateOfDeparture,nights,hotelRef
Barcelona Pricebuster,Catalonia,Spain,2024-07-12,3,H102
Beautiful Berlin,Berlin,Germany,2024-07-29,4,H108
Budget Dublin,Dublin,Ireland,2024-08-07,2,H138
Capital Spain,Madrid,Spain,2024-07-11,3,H110
Catalonia Caper,Catalonia,Spain,2024-06-24,3,H101
Catalonia Crystal,Catalonia,Spain,2024-06-29,3,H101
Catalonia on a budget,Catalonia,Spain,2024-07-25,3,H102
Dublin Attractions,County Dublin,Ireland,2024-08-07,3,H140
Dublin City Break,Dublin,Ireland,2024-07-31,3,H139
Dublin Package,Dublin,Ireland,2024-08-15,3,H138
Edinburgh City Break,Edinburgh,Scotland,2024-07-12,2,H133
Eternal City,Trastevere-Rome,Italy,2024-07-04,5,H122
France Fantastic,Ile De France,France,2024-08-15,5,H113
French Attractions,Ile De France,France,2024-08-07,4,H112
French Experience,Ile De France,France,2024-07-13,6,H113
Geloland,Windsor,England,2024-07-22,4,H118
Germany Afresh,Brandenburg,Germany,2024-08-11,5,H108
Glorious Paris,Champs Élysées,France,2024-07-14,4,H114
Glorious Spain,Madrid,Spain,2024-07-13,5,H109
Green Ireland,Dublin Bay,Ireland,2024-08-22,4,H137
Irish Glory,County Dublin,Ireland,2024-08-16,4,H139
Italy Glory,Trastevere-Rome,Italy,2024-07-02,2,H124
Italy Heaven,Lazio,Italy,2024-08-02,4,H121
Italy Luxury,Trastevere-Rome,Italy,2024-07-03,3,H123
Italy Package,Fiumicino,Italy,2024-06-04,5,H125
La vie française,Ile De France,France,2024-08-02,5,H113
Lisbon Package,Sintra,Portugal,2024-06-12,6,H130
London Attractions,Kensington,England,2024-08-03,2,H115
London Highlights,Kensington,England,2024-07-06,4,H119
London on a budget,Islington,England,2024-07-26,3,H115
London Package,Hammersmith,England,2024-06-30,3,H116
London Traveller,Greenwich,England,2024-08-14,4,H116
Lovely Lisbon,Lisbon,Portugal,2024-06-05,3,H130
Madrid Attractions,Argüelles,Spain,2024-08-13,5,H109
Madrid City Break,Madrid,Spain,2024-07-02,2,H109
Madrid Summer Madness,Argüelles,Spain,2024-08-14,7,H110
Old England,Canary Wharf,England,2024-07-19,4,H117
Paris and Surroundings,Ile De France,France,2024-06-30,3,H112
Paris Luxury,Champs Élysées,France,2024-08-22,2,H114
Paris on a budget,Ile De France,France,2024-07-31,3,H111
Paris Package,Quartier Latin,France,2024-08-01,5,H113
Paris Paradise,Paris,France,2024-06-04,3,H114
Portugal on a budget,Lisbon,Portugal,2024-07-02,2,H131
Portugal Relax,Silver Coast,Portugal,2024-07-19,5,H128
Portugal Sun,Sintra,Portugal,2024-07-19,3,H129
Portugal Tour,Silver Coast,Portugal,2024-06-19,5,H129
Regal London,Canary Wharf,England,2024-07-06,5,H120
Religious Rome,Vatican City,Italy,2024-06-02,4,H127
Roman Route,Lazio,Italy,2024-06-03,4,H126
Romantic Rome,Rome,Italy,2024-07-09,4,H127
Scenic Scotland,East Coast,Scotland,2024-08-19,4,H135
Scotland Attractions,East Coast,Scotland,2024-07-05,5,H133
Scottish Glory,Lothian,Scotland,2024-06-22,4,H132
Scottish Luxury,Edinburgh,Scotland,2024-08-13,4,H134
Scottish Package,Lothian,Scotland,2024-06-29,3,H132
Seven Hills,Lisbon Area,Portugal,2024-07-12,5,H131
Sorbonne Special,Quartier Latin,France,2024-07-13,4,H111
Spanish Beach,Catalonia,Spain,2024-08-04,5,H104
Spanish Luxury,Catalonia,Spain,2024-08-03,3,H103
Spanish Siesta,Madrid,Spain,2024-06-16,5,H109
Spanish Sun,Catalonia,Spain,2024-08-11,5,H104
Tartan Experience,East Coast,Scotland,2024-07-19,4,H136
Theatre Break,London West End,England,2024-08-02,3,H117
Vibrant Paris,Quartier Latin,France,2024-07-29,5,H112
Wimbledon Winner,Wimbledon,England,2024-06-30,6,H120
