CDCode,title,artist,label,numberOfTracks,cost,genre
42AM,The Best of,Eva Cassidy,Blix Street,20,9.99,Pop
5J8Y,+,Ed Sheeran,Atlantic Records,13,10.00,Indie
61DS,Stronger Together,Military Wives,Decca Records,14,7.49,Choral
82FK,The Power of Love,Sam Bailey,Syco Music,11,7.50,Soul
8G9K,iDos!,Greenday,Warner Bros,13,8.99,Garage
8PL3,Opera,Andrea Bocelli,Decca Records,21,10.00,Opera
8QGC,Our Version of Events,Emeli Sande,Virgin Records,19,8.99,R&B
91TU,Right Place Right Time,Olly Murs,Epic Records,12,11.99,Pop
942Y,Take Me Home,One Direction,Syco Music,13,10.00,Pop
95VW,Grrr,The Rolling Stones,Polydor Records,51,11.99,R&R
97F2,Red,Taylor Swift,Mercury Records,16,8.99,Country
9KYX,Glory Days,Little Mix,Syco Music,20,9.99,R&B
